dataset,model,selection_type,k,pr_auc_cv,pr_auc_test,pr_auc_diff,pr_auc_diff_percent,k_percent,pr_auc_test_percent
kaggle_patient_survival,dt,shap,9,0.4953363874627787,0.4824751869866667,0.012861200476112,0.026656708620473413,8.333333333333334,102.9315074825992
kaggle_patient_survival,dt,mrmr,5,0.4567516444467353,0.4515440745115714,0.005207569935163914,0.011532805387374124,4.62962962962963,96.33264784992058
kaggle_patient_survival,dt,mutual_info,17,0.4942375662724426,0.4403218166296911,0.053915749642751476,0.12244623728942872,15.74074074074074,93.93848551308658
kaggle_patient_survival,dt,relieff,8,0.0968025231428097,0.0962281455380926,0.0005743776047170968,0.005968914827416323,7.407407407407407,20.52936264837294
kaggle_patient_survival,rf,mrmr,85,0.9998040727271504,0.5467557109525557,0.45304836177459473,0.8286120340385574,78.70370370370371,99.94764815516055
kaggle_patient_survival,rf,mutual_info,15,0.9929667439891308,0.5015727039296275,0.49139404005950327,0.9797065035828737,13.88888888888889,91.68813627799675
kaggle_patient_survival,rf,relieff,52,0.7585183477872313,0.3417115107127728,0.4168068370744585,1.2197623551078074,48.148148148148145,62.46530426501977
kaggle_patient_survival,rf,shap,38,0.9998247472433294,0.5474585640911641,0.45236618315216526,0.8263021401503479,35.18518518518518,100.07613061413662
kaggle_patient_survival,xgb,mrmr,50,0.6923790130018708,0.5375374629622224,0.1548415500396484,0.2880572252329332,46.2962962962963,95.93156795122525
kaggle_patient_survival,xgb,mutual_info,44,0.7295894264495768,0.5463445866832597,0.1832448397663171,0.3354015839687496,40.74074074074074,97.50333037880308
kaggle_patient_survival,xgb,relieff,44,0.3948725203338601,0.3667694551247231,0.028103065209137024,0.07662324333846268,40.74074074074074,65.45547302477777
kaggle_patient_survival,xgb,shap,34,0.7495495007621525,0.5528907890852388,0.19665871167691373,0.355691784994803,31.48148148148148,98.67159771609204
kaggle_patient_survival,svc,shap,25,0.4625611998404862,0.4783875092743298,-0.01582630943384361,-0.03308261425523145,23.14814814814815,94.8506981361604
kaggle_patient_survival,svc,mrmr,25,0.4451983063176906,0.4659992386549957,-0.020800932337305122,-0.04463726678468926,23.14814814814815,92.39445483096635
kaggle_patient_survival,svc,mutual_info,28,0.4469165768372066,0.4702391672142271,-0.023322590377020502,-0.04959729431979752,25.925925925925927,93.23511261590849
kaggle_patient_survival,svc,relieff,50,0.3296917843418668,0.3448389960601935,-0.015147211718326725,-0.04392546055227088,46.2962962962963,68.37180922741356
uci_android_permissions,logreg,shap,13,0.98152220925259,0.9810790571110756,0.000443152141514469,0.00045169870695170323,15.116279069767442,99.20477953324183
uci_android_permissions,logreg,mrmr,6,0.9666437756985022,0.9632934774064426,0.0033502982920596835,0.003477962189757558,6.976744186046512,97.40633678728761
uci_android_permissions,logreg,mutual_info,32,0.9811286266964274,0.979832359181832,0.0012962675145954394,0.0013229482599225785,37.2093023255814,99.07871589716815
uci_android_permissions,logreg,relieff,18,0.5375845261553689,0.5392969690480559,-0.001712442892687016,-0.0031753245261321376,20.930232558139537,54.53264599786547
uci_android_permissions,dt,shap,4,0.9575420601299064,0.9555454869652718,0.0019965731646346407,0.0020894590491715693,4.651162790697675,96.67232132182463
uci_android_permissions,dt,mrmr,13,0.9861498893315138,0.9842576285318648,0.0018922607996489926,0.0019225259167881894,15.116279069767442,99.5771222059549
uci_android_permissions,dt,mutual_info,6,0.971583498133954,0.9702488492606358,0.0013346488733181339,0.0013755737760835108,6.976744186046512,98.15985716780816
uci_android_permissions,dt,relieff,1,0.5179947597193977,0.5201698513800425,-0.002175091660644779,-0.004181502743525269,1.1627906976744187,52.62546650106759
uci_android_permissions,rf,relieff,10,0.5215493644701449,0.5243090647523622,-0.002759700282217281,-0.005263499084305786,11.627906976744185,52.75145372468055
uci_android_permissions,rf,shap,25,0.996744714482482,0.99261724098625,0.0041274734962319926,0.004158172280113727,29.069767441860463,99.86858128981139
uci_android_permissions,rf,mrmr,29,0.9931690968493904,0.9885540379231358,0.004615058926254578,0.004668494335373316,33.72093023255814,99.45977685981534
uci_android_permissions,rf,mutual_info,29,0.9927029587608804,0.9875487696040492,0.00515418915683119,0.005219174298498419,33.72093023255814,99.35863543621582
