dataset,model,selection_type,k,pr_auc_cv,pr_auc_test,pr_auc_diff,pr_auc_diff_percent,k_percent,pr_auc_test_percent
kaggle_patient_survival,svc,shap,95,0.4913859888260791,0.5041291793101992,-0.012743190484120093,-0.025277629240895404,87.96296296296296,99.95454246060063
kaggle_patient_survival,svc,mrmr,38,0.4487136794383123,0.4668539761648212,-0.01814029672650891,-0.038856468301995434,35.18518518518518,92.56392507832523
kaggle_patient_survival,svc,mutual_info,67,0.481590536230087,0.4970823640337884,-0.015491827803701397,-0.03116551486153382,62.03703703703704,98.55735851318107
kaggle_patient_survival,svc,relieff,95,0.4768261507168696,0.4908443125333748,-0.01401816181650517,-0.028559283378784203,87.96296296296296,97.32052952339184
uci_android_permissions,logreg,shap,46,0.9898019310082248,0.9877362004939464,0.0020657305142783855,0.0020913787641329297,53.48837209302326,99.87793674400075
uci_android_permissions,logreg,mrmr,45,0.9850565044049938,0.983024630649057,0.0020318737559368305,0.0020669611854946656,52.325581395348834,99.4015120926642
uci_android_permissions,logreg,mutual_info,46,0.9845604619169828,0.9832191847817062,0.0013412771352765418,0.0013641690032465462,53.48837209302326,99.42118502289021
uci_android_permissions,logreg,relieff,46,0.6491989731732509,0.6477062454824434,0.0014927276908075493,0.0023046368646572066,53.48837209302326,65.4947782440684
uci_android_permissions,dt,mrmr,19,0.9891770689607438,0.9856566332798102,0.0035204356809335202,0.003571665387386615,22.093023255813954,99.71865920065481
uci_android_permissions,dt,shap,19,0.991945446769038,0.9881536192161392,0.003791827552898752,0.0038372854980854593,22.093023255813954,99.97127870445206
uci_android_permissions,dt,mutual_info,19,0.9878469363676052,0.984403271031727,0.0034436653358782543,0.0034982262221345934,22.093023255813954,99.59185682480542
uci_android_permissions,dt,relieff,19,0.5361256056881475,0.5364116363693475,-0.0002860306812000335,-0.0005332298216645815,22.093023255813954,54.268644223891314
uci_android_permissions,rf,relieff,29,0.588843633132328,0.5896968609716902,-0.0008532278393621473,-0.0014468922862438446,33.72093023255814,59.330209535533974
uci_android_permissions,rf,mrmr,29,0.9931690968493904,0.9885540379231358,0.004615058926254578,0.004668494335373316,33.72093023255814,99.45977685981534
uci_android_permissions,rf,mutual_info,29,0.9927029587608804,0.9875487696040492,0.00515418915683119,0.005219174298498419,33.72093023255814,99.35863543621582
uci_android_permissions,rf,shap,29,0.9968253075487862,0.9928108486239804,0.004014458924805786,0.004043528463019678,33.72093023255814,99.8880604196397
uci_android_permissions,xgb,mrmr,36,0.9938908319199952,0.9912808355927256,0.002609996327269548,0.0026329534815519046,41.86046511627907,99.69664756354987
uci_android_permissions,xgb,mutual_info,36,0.9925197986601132,0.9899848159694076,0.0025349826907056228,0.002560627849855789,41.86046511627907,99.56630224970739
uci_android_permissions,xgb,relieff,38,0.6290081494574546,0.6249442748438585,0.004063874613596141,0.006502779171169293,44.18604651162791,62.85287365483254
uci_android_permissions,xgb,shap,36,0.996544266983708,0.9937718006992432,0.002772466284464814,0.0027898419763108953,41.86046511627907,99.94717280463263
