dataset,model,strategy,k,time
uci-android-permissions,logreg,max_0.05,13,1000.0670943260193
uci-android-permissions,logreg,max_0.1,9,1000.0670943260193
uci-android-permissions,logreg,max_0.15,5,1000.0670943260193
uci-android-permissions,logreg,max_0.25,3,1000.0670943260193
uci-android-permissions,logreg,max_0.5,1,1000.0670943260193
uci-android-permissions,dt,sum_0.5,1,1025.1930956840515
uci-android-permissions,dt,sum_0.6,2,1025.1930956840515
uci-android-permissions,dt,sum_0.7,4,1025.1930956840515
uci-android-permissions,dt,sum_0.8,6,1025.1930956840515
uci-android-permissions,dt,sum_0.9,9,1025.1930956840515
uci-android-permissions,dt,sum_0.95,13,1025.1930956840515
uci-android-permissions,dt,max_0.01,19,1025.1930956840515
uci-android-permissions,dt,max_0.05,10,1025.1930956840515
uci-android-permissions,dt,max_0.1,8,1025.1930956840515
uci-android-permissions,dt,max_0.15,4,1025.1930956840515
uci-android-permissions,dt,max_0.25,2,1025.1930956840515
uci-android-permissions,dt,max_0.5,1,1025.1930956840515
uci-android-permissions,rf,sum_0.5,1,32670.92814707756
uci-android-permissions,rf,sum_0.6,3,32670.92814707756
uci-android-permissions,rf,sum_0.7,6,32670.92814707756
uci-android-permissions,rf,sum_0.8,10,32670.92814707756
uci-android-permissions,rf,sum_0.9,18,32670.92814707756
uci-android-permissions,rf,sum_0.95,29,32670.92814707756
uci-android-permissions,rf,max_0.01,25,32670.92814707756
uci-android-permissions,rf,max_0.05,8,32670.92814707756
uci-android-permissions,rf,max_0.1,4,32670.92814707756
uci-android-permissions,rf,max_0.15,2,32670.92814707756
uci-android-permissions,rf,max_0.25,2,32670.92814707756
uci-android-permissions,rf,max_0.5,1,32670.92814707756
uci-android-permissions,xgb,sum_0.5,3,3675.707764148712
uci-android-permissions,xgb,sum_0.6,6,3675.707764148712
uci-android-permissions,xgb,sum_0.7,9,3675.707764148712
uci-android-permissions,xgb,sum_0.8,15,3675.707764148712
uci-android-permissions,xgb,sum_0.9,26,3675.707764148712
uci-android-permissions,xgb,sum_0.95,36,3675.707764148712
uci-android-permissions,xgb,max_0.01,38,3675.707764148712
uci-android-permissions,xgb,max_0.05,13,3675.707764148712
uci-android-permissions,xgb,max_0.1,4,3675.707764148712
uci-android-permissions,xgb,max_0.15,2,3675.707764148712
uci-android-permissions,xgb,max_0.25,2,3675.707764148712
uci-android-permissions,xgb,max_0.5,1,3675.707764148712
uci-android-permissions,svc,sum_0.5,3,947.0487902164459
uci-android-permissions,svc,sum_0.6,5,947.0487902164459
uci-android-permissions,svc,sum_0.7,8,947.0487902164459
uci-android-permissions,svc,sum_0.8,15,947.0487902164459
uci-android-permissions,svc,sum_0.9,28,947.0487902164459
uci-android-permissions,svc,sum_0.95,41,947.0487902164459
uci-android-permissions,svc,max_0.01,41,947.0487902164459
uci-android-permissions,svc,max_0.05,12,947.0487902164459
uci-android-permissions,svc,max_0.1,8,947.0487902164459
uci-android-permissions,svc,max_0.15,3,947.0487902164459
uci-android-permissions,svc,max_0.25,2,947.0487902164459
uci-android-permissions,svc,max_0.5,1,947.0487902164459
uci-breast-cancer,logreg,sum_0.5,6,14.851232528686523
uci-breast-cancer,logreg,sum_0.6,7,14.851232528686523
uci-breast-cancer,logreg,sum_0.7,9,14.851232528686523
uci-breast-cancer,logreg,sum_0.8,12,14.851232528686523
uci-breast-cancer,logreg,sum_0.9,16,14.851232528686523
uci-breast-cancer,logreg,sum_0.95,18,14.851232528686523
uci-breast-cancer,logreg,max_0.01,24,14.851232528686523
uci-breast-cancer,logreg,max_0.05,23,14.851232528686523
uci-breast-cancer,logreg,max_0.1,20,14.851232528686523
uci-breast-cancer,logreg,max_0.15,19,14.851232528686523
uci-breast-cancer,logreg,max_0.25,14,14.851232528686523
uci-breast-cancer,logreg,max_0.5,8,14.851232528686523
uci-breast-cancer,dt,sum_0.5,1,9.331220149993896
uci-breast-cancer,dt,sum_0.6,1,9.331220149993896
uci-breast-cancer,dt,sum_0.7,1,9.331220149993896
uci-breast-cancer,dt,sum_0.8,1,9.331220149993896
uci-breast-cancer,dt,sum_0.9,2,9.331220149993896
uci-breast-cancer,dt,sum_0.95,2,9.331220149993896
uci-breast-cancer,dt,max_0.01,3,9.331220149993896
uci-breast-cancer,dt,max_0.05,3,9.331220149993896
uci-breast-cancer,dt,max_0.1,3,9.331220149993896
uci-breast-cancer,dt,max_0.15,3,9.331220149993896
uci-breast-cancer,dt,max_0.25,2,9.331220149993896
uci-breast-cancer,dt,max_0.5,2,9.331220149993896
uci-breast-cancer,rf,sum_0.5,4,71.40106153488159
uci-breast-cancer,rf,sum_0.6,5,71.40106153488159
uci-breast-cancer,rf,sum_0.7,8,71.40106153488159
uci-breast-cancer,rf,sum_0.8,11,71.40106153488159
uci-breast-cancer,rf,sum_0.9,15,71.40106153488159
uci-breast-cancer,rf,sum_0.95,19,71.40106153488159
uci-breast-cancer,rf,max_0.01,30,71.40106153488159
uci-breast-cancer,rf,max_0.05,18,71.40106153488159
uci-breast-cancer,rf,max_0.1,15,71.40106153488159
uci-breast-cancer,rf,max_0.15,13,71.40106153488159
uci-breast-cancer,rf,max_0.25,6,71.40106153488159
uci-breast-cancer,rf,max_0.5,4,71.40106153488159
uci-breast-cancer,xgb,sum_0.5,6,42.36508655548096
uci-breast-cancer,xgb,sum_0.6,8,42.36508655548096
uci-breast-cancer,xgb,sum_0.7,10,42.36508655548096
uci-breast-cancer,xgb,sum_0.8,12,42.36508655548096
uci-breast-cancer,xgb,sum_0.9,16,42.36508655548096
uci-breast-cancer,xgb,sum_0.95,19,42.36508655548096
uci-breast-cancer,xgb,max_0.01,28,42.36508655548096
uci-breast-cancer,xgb,max_0.05,23,42.36508655548096
uci-breast-cancer,xgb,max_0.1,20,42.36508655548096
uci-breast-cancer,xgb,max_0.15,19,42.36508655548096
uci-breast-cancer,xgb,max_0.25,15,42.36508655548096
uci-breast-cancer,xgb,max_0.5,8,42.36508655548096
uci-breast-cancer,svc,sum_0.5,7,92.83504748344421
uci-breast-cancer,svc,sum_0.6,10,92.83504748344421
uci-breast-cancer,svc,sum_0.7,13,92.83504748344421
uci-breast-cancer,svc,sum_0.8,16,92.83504748344421
uci-breast-cancer,svc,sum_0.9,19,92.83504748344421
uci-breast-cancer,svc,sum_0.95,22,92.83504748344421
uci-breast-cancer,svc,max_0.01,30,92.83504748344421
uci-breast-cancer,svc,max_0.05,30,92.83504748344421
uci-breast-cancer,svc,max_0.1,24,92.83504748344421
uci-breast-cancer,svc,max_0.15,23,92.83504748344421
uci-breast-cancer,svc,max_0.25,20,92.83504748344421
uci-breast-cancer,svc,max_0.5,10,92.83504748344421
uci-heart-disease,logreg,sum_0.5,4,8.205621004104614
uci-heart-disease,logreg,sum_0.6,6,8.205621004104614
uci-heart-disease,logreg,sum_0.7,7,8.205621004104614
uci-heart-disease,logreg,sum_0.8,10,8.205621004104614
uci-heart-disease,logreg,sum_0.9,13,8.205621004104614
uci-heart-disease,logreg,sum_0.95,15,8.205621004104614
uci-heart-disease,logreg,max_0.01,22,8.205621004104614
uci-heart-disease,logreg,max_0.05,20,8.205621004104614
uci-heart-disease,logreg,max_0.1,17,8.205621004104614
uci-heart-disease,logreg,max_0.15,16,8.205621004104614
uci-heart-disease,logreg,max_0.25,13,8.205621004104614
uci-heart-disease,logreg,max_0.5,7,8.205621004104614
uci-heart-disease,dt,sum_0.5,1,2.9576644897460938
uci-heart-disease,dt,sum_0.6,1,2.9576644897460938
uci-heart-disease,dt,sum_0.7,2,2.9576644897460938
uci-heart-disease,dt,sum_0.8,2,2.9576644897460938
uci-heart-disease,dt,sum_0.9,2,2.9576644897460938
uci-heart-disease,dt,sum_0.95,2,2.9576644897460938
uci-heart-disease,dt,max_0.01,3,2.9576644897460938
uci-heart-disease,dt,max_0.05,3,2.9576644897460938
uci-heart-disease,dt,max_0.1,3,2.9576644897460938
uci-heart-disease,dt,max_0.15,3,2.9576644897460938
uci-heart-disease,dt,max_0.25,3,2.9576644897460938
uci-heart-disease,dt,max_0.5,3,2.9576644897460938
uci-heart-disease,rf,sum_0.5,3,28.712292671203613
uci-heart-disease,rf,sum_0.6,4,28.712292671203613
uci-heart-disease,rf,sum_0.7,6,28.712292671203613
uci-heart-disease,rf,sum_0.8,8,28.712292671203613
uci-heart-disease,rf,sum_0.9,12,28.712292671203613
uci-heart-disease,rf,sum_0.95,15,28.712292671203613
uci-heart-disease,rf,max_0.01,23,28.712292671203613
uci-heart-disease,rf,max_0.05,19,28.712292671203613
uci-heart-disease,rf,max_0.1,14,28.712292671203613
uci-heart-disease,rf,max_0.15,10,28.712292671203613
uci-heart-disease,rf,max_0.25,6,28.712292671203613
uci-heart-disease,rf,max_0.5,4,28.712292671203613
uci-heart-disease,xgb,sum_0.5,3,8.258080959320068
uci-heart-disease,xgb,sum_0.6,4,8.258080959320068
uci-heart-disease,xgb,sum_0.7,6,8.258080959320068
uci-heart-disease,xgb,sum_0.8,8,8.258080959320068
uci-heart-disease,xgb,sum_0.9,11,8.258080959320068
uci-heart-disease,xgb,sum_0.95,12,8.258080959320068
uci-heart-disease,xgb,max_0.01,15,8.258080959320068
uci-heart-disease,xgb,max_0.05,15,8.258080959320068
uci-heart-disease,xgb,max_0.1,14,8.258080959320068
uci-heart-disease,xgb,max_0.15,12,8.258080959320068
uci-heart-disease,xgb,max_0.25,10,8.258080959320068
uci-heart-disease,xgb,max_0.5,2,8.258080959320068
uci-heart-disease,svc,sum_0.5,4,55.636855363845825
uci-heart-disease,svc,sum_0.6,5,55.636855363845825
uci-heart-disease,svc,sum_0.7,7,55.636855363845825
uci-heart-disease,svc,sum_0.8,8,55.636855363845825
uci-heart-disease,svc,sum_0.9,11,55.636855363845825
uci-heart-disease,svc,sum_0.95,14,55.636855363845825
uci-heart-disease,svc,max_0.01,22,55.636855363845825
uci-heart-disease,svc,max_0.05,19,55.636855363845825
uci-heart-disease,svc,max_0.1,15,55.636855363845825
uci-heart-disease,svc,max_0.15,13,55.636855363845825
uci-heart-disease,svc,max_0.25,10,55.636855363845825
uci-heart-disease,svc,max_0.5,7,55.636855363845825
uci-indian-liver,logreg,sum_0.5,1,9.938830852508545
uci-indian-liver,logreg,sum_0.6,2,9.938830852508545
uci-indian-liver,logreg,sum_0.7,3,9.938830852508545
uci-indian-liver,logreg,sum_0.8,5,9.938830852508545
uci-indian-liver,logreg,sum_0.9,7,9.938830852508545
uci-indian-liver,logreg,sum_0.95,8,9.938830852508545
uci-indian-liver,logreg,max_0.01,10,9.938830852508545
uci-indian-liver,logreg,max_0.05,10,9.938830852508545
uci-indian-liver,logreg,max_0.1,10,9.938830852508545
uci-indian-liver,logreg,max_0.15,8,9.938830852508545
uci-indian-liver,logreg,max_0.25,4,9.938830852508545
uci-indian-liver,logreg,max_0.5,3,9.938830852508545
uci-indian-liver,dt,sum_0.5,1,4.914706230163574
uci-indian-liver,dt,sum_0.6,2,4.914706230163574
uci-indian-liver,dt,sum_0.7,2,4.914706230163574
uci-indian-liver,dt,sum_0.8,3,4.914706230163574
uci-indian-liver,dt,sum_0.9,3,4.914706230163574
uci-indian-liver,dt,sum_0.95,4,4.914706230163574
uci-indian-liver,dt,max_0.01,5,4.914706230163574
uci-indian-liver,dt,max_0.05,5,4.914706230163574
uci-indian-liver,dt,max_0.1,5,4.914706230163574
uci-indian-liver,dt,max_0.15,5,4.914706230163574
uci-indian-liver,dt,max_0.25,5,4.914706230163574
uci-indian-liver,dt,max_0.5,3,4.914706230163574
uci-indian-liver,rf,sum_0.5,3,210.88867592811584
uci-indian-liver,rf,sum_0.6,3,210.88867592811584
uci-indian-liver,rf,sum_0.7,4,210.88867592811584
uci-indian-liver,rf,sum_0.8,5,210.88867592811584
uci-indian-liver,rf,sum_0.9,7,210.88867592811584
uci-indian-liver,rf,sum_0.95,8,210.88867592811584
uci-indian-liver,rf,max_0.01,10,210.88867592811584
uci-indian-liver,rf,max_0.05,10,210.88867592811584
uci-indian-liver,rf,max_0.1,10,210.88867592811584
uci-indian-liver,rf,max_0.15,10,210.88867592811584
uci-indian-liver,rf,max_0.25,10,210.88867592811584
uci-indian-liver,rf,max_0.5,6,210.88867592811584
uci-indian-liver,xgb,sum_0.5,3,14.761054039001465
uci-indian-liver,xgb,sum_0.6,4,14.761054039001465
uci-indian-liver,xgb,sum_0.7,4,14.761054039001465
uci-indian-liver,xgb,sum_0.8,6,14.761054039001465
uci-indian-liver,xgb,sum_0.9,7,14.761054039001465
uci-indian-liver,xgb,sum_0.95,8,14.761054039001465
uci-indian-liver,xgb,max_0.01,10,14.761054039001465
uci-indian-liver,xgb,max_0.05,10,14.761054039001465
uci-indian-liver,xgb,max_0.1,10,14.761054039001465
uci-indian-liver,xgb,max_0.15,10,14.761054039001465
uci-indian-liver,xgb,max_0.25,10,14.761054039001465
uci-indian-liver,xgb,max_0.5,6,14.761054039001465
uci-indian-liver,svc,sum_0.5,1,81.54959440231323
uci-indian-liver,svc,sum_0.6,2,81.54959440231323
uci-indian-liver,svc,sum_0.7,2,81.54959440231323
uci-indian-liver,svc,sum_0.8,3,81.54959440231323
uci-indian-liver,svc,sum_0.9,4,81.54959440231323
uci-indian-liver,svc,sum_0.95,6,81.54959440231323
uci-indian-liver,svc,max_0.01,10,81.54959440231323
uci-indian-liver,svc,max_0.05,10,81.54959440231323
uci-indian-liver,svc,max_0.1,5,81.54959440231323
uci-indian-liver,svc,max_0.15,5,81.54959440231323
uci-indian-liver,svc,max_0.25,4,81.54959440231323
uci-indian-liver,svc,max_0.5,3,81.54959440231323
uci-mushroom,logreg,sum_0.5,1,229.64981770515442
uci-mushroom,logreg,sum_0.6,1,229.64981770515442
uci-mushroom,logreg,sum_0.7,2,229.64981770515442
uci-mushroom,logreg,sum_0.8,2,229.64981770515442
uci-mushroom,logreg,sum_0.9,5,229.64981770515442
uci-mushroom,logreg,sum_0.95,8,229.64981770515442
uci-mushroom,logreg,max_0.01,12,229.64981770515442
uci-mushroom,logreg,max_0.05,6,229.64981770515442
uci-mushroom,logreg,max_0.1,3,229.64981770515442
uci-mushroom,logreg,max_0.15,3,229.64981770515442
uci-mushroom,logreg,max_0.25,1,229.64981770515442
uci-mushroom,logreg,max_0.5,1,229.64981770515442
uci-mushroom,dt,sum_0.5,1,243.63649487495422
uci-mushroom,dt,sum_0.6,1,243.63649487495422
uci-mushroom,dt,sum_0.7,1,243.63649487495422
uci-mushroom,dt,sum_0.8,3,243.63649487495422
uci-mushroom,dt,sum_0.9,5,243.63649487495422
uci-mushroom,dt,sum_0.95,6,243.63649487495422
uci-mushroom,dt,max_0.01,8,243.63649487495422
uci-mushroom,dt,max_0.05,7,243.63649487495422
uci-mushroom,dt,max_0.1,2,243.63649487495422
uci-mushroom,dt,max_0.15,2,243.63649487495422
uci-mushroom,dt,max_0.25,1,243.63649487495422
uci-mushroom,dt,max_0.5,1,243.63649487495422
uci-mushroom,rf,sum_0.5,4,871.6923067569733
uci-mushroom,rf,sum_0.6,7,871.6923067569733
uci-mushroom,rf,sum_0.7,11,871.6923067569733
uci-mushroom,rf,sum_0.8,17,871.6923067569733
uci-mushroom,rf,sum_0.9,29,871.6923067569733
uci-mushroom,rf,sum_0.95,40,871.6923067569733
uci-mushroom,rf,max_0.01,47,871.6923067569733
uci-mushroom,rf,max_0.05,20,871.6923067569733
uci-mushroom,rf,max_0.1,10,871.6923067569733
uci-mushroom,rf,max_0.15,7,871.6923067569733
uci-mushroom,rf,max_0.25,4,871.6923067569733
uci-mushroom,rf,max_0.5,2,871.6923067569733
uci-mushroom,xgb,sum_0.5,1,610.6776204109192
uci-mushroom,xgb,sum_0.6,1,610.6776204109192
uci-mushroom,xgb,sum_0.7,4,610.6776204109192
uci-mushroom,xgb,sum_0.8,7,610.6776204109192
uci-mushroom,xgb,sum_0.9,13,610.6776204109192
uci-mushroom,xgb,sum_0.95,19,610.6776204109192
uci-mushroom,xgb,max_0.01,21,610.6776204109192
uci-mushroom,xgb,max_0.05,7,610.6776204109192
uci-mushroom,xgb,max_0.1,2,610.6776204109192
uci-mushroom,xgb,max_0.15,1,610.6776204109192
uci-mushroom,xgb,max_0.25,1,610.6776204109192
uci-mushroom,xgb,max_0.5,1,610.6776204109192
uci-mushroom,svc,sum_0.5,7,166.09508776664734
uci-mushroom,svc,sum_0.6,10,166.09508776664734
uci-mushroom,svc,sum_0.7,14,166.09508776664734
uci-mushroom,svc,sum_0.8,21,166.09508776664734
uci-mushroom,svc,sum_0.9,33,166.09508776664734
uci-mushroom,svc,sum_0.95,45,166.09508776664734
uci-mushroom,svc,max_0.01,61,166.09508776664734
uci-mushroom,svc,max_0.05,30,166.09508776664734
uci-mushroom,svc,max_0.1,17,166.09508776664734
uci-mushroom,svc,max_0.15,13,166.09508776664734
uci-mushroom,svc,max_0.25,5,166.09508776664734
uci-mushroom,svc,max_0.5,2,166.09508776664734
uci-phishing-url,logreg,sum_0.5,1,4002.618390083313
uci-phishing-url,logreg,sum_0.6,4,4002.618390083313
uci-phishing-url,logreg,sum_0.7,7,4002.618390083313
uci-phishing-url,logreg,sum_0.8,10,4002.618390083313
uci-phishing-url,logreg,sum_0.9,16,4002.618390083313
uci-phishing-url,logreg,sum_0.95,21,4002.618390083313
uci-phishing-url,logreg,max_0.01,25,4002.618390083313
uci-phishing-url,logreg,max_0.05,12,4002.618390083313
uci-phishing-url,logreg,max_0.1,2,4002.618390083313
uci-phishing-url,logreg,max_0.15,2,4002.618390083313
uci-phishing-url,logreg,max_0.25,1,4002.618390083313
uci-phishing-url,logreg,max_0.5,1,4002.618390083313
uci-phishing-url,dt,sum_0.5,1,4164.305223941803
uci-phishing-url,dt,sum_0.6,1,4164.305223941803
uci-phishing-url,dt,sum_0.7,1,4164.305223941803
uci-phishing-url,dt,sum_0.8,2,4164.305223941803
uci-phishing-url,dt,sum_0.9,2,4164.305223941803
uci-phishing-url,dt,sum_0.95,2,4164.305223941803
uci-phishing-url,dt,max_0.01,4,4164.305223941803
uci-phishing-url,dt,max_0.05,4,4164.305223941803
uci-phishing-url,dt,max_0.1,3,4164.305223941803
uci-phishing-url,dt,max_0.15,3,4164.305223941803
uci-phishing-url,dt,max_0.25,3,4164.305223941803
uci-phishing-url,dt,max_0.5,2,4164.305223941803
uci-phishing-url,rf,sum_0.5,1,110062.89901852608
uci-phishing-url,rf,sum_0.6,1,110062.89901852608
uci-phishing-url,rf,sum_0.7,1,110062.89901852608
uci-phishing-url,rf,sum_0.8,2,110062.89901852608
uci-phishing-url,rf,sum_0.9,6,110062.89901852608
uci-phishing-url,rf,sum_0.95,13,110062.89901852608
uci-phishing-url,rf,max_0.01,11,110062.89901852608
uci-phishing-url,rf,max_0.05,3,110062.89901852608
uci-phishing-url,rf,max_0.1,2,110062.89901852608
uci-phishing-url,rf,max_0.15,2,110062.89901852608
uci-phishing-url,rf,max_0.25,2,110062.89901852608
uci-phishing-url,rf,max_0.5,1,110062.89901852608
uci-phishing-url,xgb,sum_0.5,1,17241.87901210785
uci-phishing-url,xgb,sum_0.6,1,17241.87901210785
uci-phishing-url,xgb,sum_0.7,1,17241.87901210785
uci-phishing-url,xgb,sum_0.8,2,17241.87901210785
uci-phishing-url,xgb,sum_0.9,5,17241.87901210785
uci-phishing-url,xgb,sum_0.95,9,17241.87901210785
uci-phishing-url,xgb,max_0.01,11,17241.87901210785
uci-phishing-url,xgb,max_0.05,4,17241.87901210785
uci-phishing-url,xgb,max_0.1,3,17241.87901210785
uci-phishing-url,xgb,max_0.15,2,17241.87901210785
